月份,PM2.5,PM10,SO2,CO,NO2,O3,AQI,质量等级
2013-12,180,195,41,1.867,48,36,222,重度污染
2014-01,155,164,32,1.577,39,39,196,中度污染
2014-02,85,88,18,1.018,23,41,112,轻度污染
2014-03,78,107,21,0.932,32,50,103,轻度污染
2014-04,67,82,15,0.847,29,54,90,良
2014-05,76,148,18,0.858,29,67,109,轻度污染
2014-06,94,127,20,1.083,23,80,124,轻度污染
2014-07,58,97,11,0.919,21,58,82,良
2014-08,54,83,12,0.9229999999999999,17,55,75,良
2014-09,54,84,15,0.877,19,46,76,良
2014-10,75,130,17,1.016,29,50,103,轻度污染
2014-11,95,121,23,1.22,29,30,126,轻度污染
2014-12,68,100,28,1.01,33,28,94,良
2015-01,102,121,27,1.194,36,34,134,轻度污染
2015-02,84,105,26,1.05,25,45,111,轻度污染
2015-03,63,88,21,0.99,24,51,88,良
2015-04,58,101,23,0.91,27,62,85,良
2015-05,62,101,14,0.968,30,71,88,良
2015-06,45,74,11,0.94,29,88,69,良
2015-07,40,61,9,0.797,25,77,59,良
2015-08,39,74,9,0.8420000000000001,28,96,63,良
2015-09,41,73,10,0.893,30,94,64,良
2015-10,70,115,14,1.1740000000000002,44,85,97,良
2015-11,65,83,17,1.247,39,46,89,良
2015-12,113,145,19,1.432,46,36,147,轻度污染
2016-01,88,108,20,1.168,42,48,119,轻度污染
2016-02,80,107,21,1.062,37,82,108,轻度污染
2016-03,87,120,22,1.1,44,98,117,轻度污染
2016-04,50,91,15,0.987,49,111,78,良
2016-05,48,94,12,0.845,38,121,83,良
2016-06,42,64,10,0.877,38,114,73,良
2016-07,36,63,11,0.742,31,106,67,良
2016-08,37,76,12,0.813,39,133,84,良
2016-09,45,90,14,0.8370000000000001,51,131,84,良
2016-10,34,53,11,0.8420000000000001,42,54,59,良
2016-11,55,85,16,1.12,55,55,82,良
2016-12,86,115,17,1.258,74,51,118,轻度污染
2017-01,87,94,16,1.287,61,60,119,轻度污染
2017-02,86,91,17,1.168,65,87,114,轻度污染
2017-03,63,84,14,0.968,63,91,90,良
2017-04,52,89,12,0.9229999999999999,51,119,92,良
2017-05,43,74,11,0.794,48,156,109,轻度污染
2017-06,43,65,10,0.777,37,160,103,轻度污染
2017-07,33,58,9,0.684,30,128,76,良
2017-08,27,48,9,0.787,33,109,63,良
2017-09,36,57,10,1.0070000000000001,44,99,67,良
2017-10,41,65,12,0.932,51,90,70,良
2017-11,67,107,14,1.04,73,72,100,良
2017-12,94,120,14,1.294,68,32,131,轻度污染
2018-01,88,85,9,1.081,49,55,119,轻度污染
2018-02,63,87,8,0.8390000000000001,40,67,88,良
2018-03,45,65,6,0.745,41,88,66,良
2018-04,44,98,8,0.747,41,117,82,良
2018-05,30,50,5,0.703,33,111,60,良
2018-06,37,59,6,0.6829999999999999,31,146,91,良
2018-07,25,45,5,0.6,25,111,63,良
2018-08,22,42,5,0.665,23,114,65,良
2018-09,28,56,6,0.6970000000000001,35,113,66,良
2018-10,40,75,8,0.71,52,109,79,良
2018-11,55,66,7,0.953,54,67,79,良
2018-12,65,73,7,0.877,47,40,91,良
2019-01,87,98,8,1.081,53,44,117,轻度污染
2019-02,65,71,4,0.889,34,63,89,良
2019-03,55,88,7,0.7390000000000001,49,95,84,良
2019-04,42,73,6,0.75,41,104,71,良
2019-05,30,69,5,0.645,39,138,85,良
2019-06,28,50,4,0.7,29,153,96,良
2019-07,26,51,4,0.619,26,131,78,良
2019-08,21,48,5,0.648,27,138,85,良
2019-09,30,66,6,0.73,39,137,85,良
2019-10,43,88,8,0.742,50,92,77,良
2019-11,41,84,8,0.68,54,72,77,良
2019-12,59,73,8,0.8740000000000001,57,41,86,良
2020-01,65,59,6,0.868,42,45,90,良
2020-02,36,44,6,0.593,23,75,55,良
2020-03,35,60,7,0.606,37,84,62,良
2020-04,32,71,9,0.5870000000000001,47,111,71,良
2020-05,31,64,6,0.5579999999999999,34,137,84,良
2020-06,19,38,5,0.54,26,100,58,良
2020-07,24,36,4,0.6579999999999999,25,93,53,良
2020-08,18,44,5,0.552,22,109,60,良
2020-09,28,62,6,0.66,41,131,79,良
2020-10,34,66,8,0.684,50,89,71,良
2020-11,38,69,9,0.753,53,59,72,良
2020-12,70,77,10,0.905,56,38,97,良
